rank,slug,title_excel,title_remote,difficulty_excel,difficulty_remote,difficulty_local,difficulty_excel_matches_remote,number_remote,number_local,number_matches,link,expected_file,local_file,local_exists,status,metadata_status
1,jump-game-ii,"Jump Game II, 跳跃游戏 II",Jump Game II,medium,medium,medium,True,45,0045,True,https://leetcode.cn/problems/jump-game-ii/,problems/medium/0045_jump-game-ii.py,problems/medium/0045_jump-game-ii.py,True,done,ok
2,longest-palindromic-substring,"Longest Palindromic Substring, 最长回文子串",Longest Palindromic Substring,medium,medium,medium,True,5,0005,True,https://leetcode.cn/problems/longest-palindromic-substring/,problems/medium/0005_longest-palindromic-substring.py,problems/medium/0005_longest-palindromic-substring.py,True,done,ok
3,house-robber,"House Robber, 打家劫舍",House Robber,medium,medium,medium,True,198,0198,True,https://leetcode.cn/problems/house-robber/,problems/medium/0198_house-robber.py,problems/medium/0198_house-robber.py,True,done,ok
4,longest-consecutive-sequence,"Longest Consecutive Sequence, 最长连续序列",Longest Consecutive Sequence,medium,medium,medium,True,128,0128,True,https://leetcode.cn/problems/longest-consecutive-sequence/,problems/medium/0128_longest-consecutive-sequence.py,problems/medium/0128_longest-consecutive-sequence.py,True,done,ok
5,move-zeroes,"Move Zeroes, 移动零",Move Zeroes,easy,easy,easy,True,283,0283,True,https://leetcode.cn/problems/move-zeroes/,problems/easy/0283_move-zeroes.py,problems/easy/0283_move-zeroes.py,True,done,ok
6,perfect-squares,"Perfect Squares, 完全平方数",Perfect Squares,medium,medium,medium,True,279,0279,True,https://leetcode.cn/problems/perfect-squares/,problems/medium/0279_perfect-squares.py,problems/medium/0279_perfect-squares.py,True,done,ok
7,remove-element,"Remove Element, 移除元素",Remove Element,easy,easy,easy,True,27,0027,True,https://leetcode.cn/problems/remove-element/,problems/easy/0027_remove-element.py,problems/easy/0027_remove-element.py,True,done,ok
8,two-sum,"Two Sum, 两数之和",Two Sum,easy,easy,easy,True,1,0001,True,https://leetcode.cn/problems/two-sum/,problems/easy/0001_two-sum.py,problems/easy/0001_two-sum.py,True,done,ok
9,3sum,"3Sum, 三数之和",3Sum,medium,medium,medium,True,15,0015,True,https://leetcode.cn/problems/3sum/,problems/medium/0015_3sum.py,problems/medium/0015_3sum.py,True,done,ok
10,add-two-numbers,"Add Two Numbers, 两数相加",Add Two Numbers,medium,medium,medium,True,2,0002,True,https://leetcode.cn/problems/add-two-numbers/,problems/medium/0002_add-two-numbers.py,problems/medium/0002_add-two-numbers.py,True,done,ok
11,find-all-anagrams-in-a-string,"Find All Anagrams in a String, 找到字符串中所有字母异位词",Find All Anagrams in a String,medium,medium,medium,True,438,0438,True,https://leetcode.cn/problems/find-all-anagrams-in-a-string/,problems/medium/0438_find-all-anagrams-in-a-string.py,problems/medium/0438_find-all-anagrams-in-a-string.py,True,done,ok
12,group-anagrams,"Group Anagrams, 字母异位词分组",Group Anagrams,medium,medium,medium,True,49,0049,True,https://leetcode.cn/problems/group-anagrams/,problems/medium/0049_group-anagrams.py,problems/medium/0049_group-anagrams.py,True,done,ok
13,longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters, 无重复字符的最长子串",Longest Substring Without Repeating Characters,medium,medium,medium,True,3,0003,True,https://leetcode.cn/problems/longest-substring-without-repeating-characters/,problems/medium/0003_longest-substring-without-repeating-characters.py,problems/medium/0003_longest-substring-without-repeating-characters.py,True,done,ok
14,merge-two-sorted-lists,"Merge Two Sorted Lists, 合并两个有序链表",Merge Two Sorted Lists,easy,easy,easy,True,21,0021,True,https://leetcode.cn/problems/merge-two-sorted-lists/,problems/easy/0021_merge-two-sorted-lists.py,problems/easy/0021_merge-two-sorted-lists.py,True,done,ok
15,trapping-rain-water,"Trapping Rain Water, 接雨水",Trapping Rain Water,hard,hard,hard,True,42,0042,True,https://leetcode.cn/problems/trapping-rain-water/,problems/hard/0042_trapping-rain-water.py,problems/hard/0042_trapping-rain-water.py,True,done,ok
